A, 24, 60, 102, 102, 126, 102, 102, 0
B, 124, 102, 102, 124, 102, 102, 124, 0
C, 60, 102, 192, 192, 192, 102, 60, 0
D, 120, 108, 102, 102, 102, 108, 120, 0
E, 126, 96, 96, 120, 96, 96, 126, 0
F, 126, 96, 96, 120, 96, 96, 96, 0
G, 60, 102, 192, 192, 206, 102, 62, 0
H, 102, 102, 102, 126, 102, 102, 102, 0
I, 24, 24, 24, 24, 24, 24, 24, 0
J, 6, 6, 6, 6, 102, 102, 60, 0
K, 102, 102, 108, 120, 108, 102, 102, 0
L, 96, 96, 96, 96, 96, 96, 126, 0
M, 198, 238, 254, 254, 214, 198, 198, 0
N, 198, 230, 246, 222, 206, 198, 198, 0
O, 60, 102, 102, 102, 102, 102, 60, 0
P, 124, 102, 102, 124, 96, 96, 96, 0
Q, 60, 102, 102, 102, 110, 60, 14, 0
R, 124, 102, 102, 124, 108, 102, 102, 0
S, 60, 102, 112, 56, 14, 102, 60, 0
T, 126, 24, 24, 24, 24, 24, 24, 0
U, 102, 102, 102, 102, 102, 102, 62, 0
V, 102, 102, 102, 102, 102, 60, 24, 0
W, 198, 198, 198, 214, 254, 238, 198, 0
X, 102, 102, 60, 24, 60, 102, 102, 0
Y, 102, 102, 102, 60, 24, 24, 24, 0
Z, 254, 6, 12, 24, 48, 96, 254, 0
0, 124, 198, 206, 222, 246, 230, 124, 0
1, 48, 112, 48, 48, 48, 48, 48, 0
2, 120, 204, 12, 56, 96, 192, 252, 0
3, 120, 204, 12, 56, 12, 204, 120, 0
4, 28, 60, 108, 204, 254, 12, 12, 0
5, 252, 192, 248, 12, 12, 204, 120, 0
6, 56, 96, 192, 248, 204, 204, 120, 0
7, 252, 12, 12, 24, 48, 48, 48, 0
8, 120, 204, 204, 120, 204, 204, 120, 0
9, 120, 204, 204, 124, 12, 24, 112, 0
